Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Michael Thomas (11660062),Michael Thomas,11660062,WR/FLEX,8900,ATL@NO 11/22/2018 08:20PM ET,NO,24.12
RB,Ezekiel Elliott (11660004),Ezekiel Elliott,11660004,RB/FLEX,8600,WAS@DAL 11/22/2018 04:30PM ET,DAL,22.74
RB,Alvin Kamara (11660006),Alvin Kamara,11660006,RB/FLEX,8300,ATL@NO 11/22/2018 08:20PM ET,NO,27.17
WR,Julio Jones (11660064),Julio Jones,11660064,WR/FLEX,8300,ATL@NO 11/22/2018 08:20PM ET,ATL,22.79
QB,Drew Brees (11659990),Drew Brees,11659990,QB,6700,ATL@NO 11/22/2018 08:20PM ET,NO,25.65
WR,Kenny Golladay (11660066),Kenny Golladay,11660066,WR/FLEX,6400,CHI@DET 11/22/2018 12:30PM ET,DET,15.52
QB,Matt Ryan (11659991),Matt Ryan,11659991,QB,6100,ATL@NO 11/22/2018 08:20PM ET,ATL,25.63
RB,Mark Ingram (11660008),Mark Ingram,11660008,RB/FLEX,6100,ATL@NO 11/22/2018 08:20PM ET,NO,16.13
QB,Mitchell Trubisky (11659992),Mitchell Trubisky,11659992,QB,5900,CHI@DET 11/22/2018 12:30PM ET,CHI,24.01
WR,Amari Cooper (11660068),Amari Cooper,11660068,WR/FLEX,5700,WAS@DAL 11/22/2018 04:30PM ET,DAL,11.09
WR,Allen Robinson II (11660070),Allen Robinson II,11660070,WR/FLEX,5500,CHI@DET 11/22/2018 12:30PM ET,CHI,13.34
RB,Kerryon Johnson (11660010),Kerryon Johnson,11660010,RB/FLEX,5400,CHI@DET 11/22/2018 12:30PM ET,DET,14.64
WR,Calvin Ridley (11660072),Calvin Ridley,11660072,WR/FLEX,5400,ATL@NO 11/22/2018 08:20PM ET,ATL,13.99
QB,Matthew Stafford (11659993),Matthew Stafford,11659993,QB,5300,CHI@DET 11/22/2018 12:30PM ET,DET,17.66
RB,Tarik Cohen (11660012),Tarik Cohen,11660012,RB/FLEX,5300,CHI@DET 11/22/2018 12:30PM ET,CHI,14.39
RB,Tevin Coleman (11660014),Tevin Coleman,11660014,RB/FLEX,5200,ATL@NO 11/22/2018 08:20PM ET,ATL,14.01
QB,Dak Prescott (11659994),Dak Prescott,11659994,QB,5100,WAS@DAL 11/22/2018 04:30PM ET,DAL,17.26
RB,Adrian Peterson (11660016),Adrian Peterson,11660016,RB/FLEX,5100,WAS@DAL 11/22/2018 04:30PM ET,WAS,14.91
WR,Marvin Jones Jr. (11660074),Marvin Jones Jr.,11660074,WR/FLEX,5000,CHI@DET 11/22/2018 12:30PM ET,DET,13.2
RB,Chris Thompson (11660018),Chris Thompson,11660018,RB/FLEX,4800,WAS@DAL 11/22/2018 04:30PM ET,WAS,13.24
QB,Colt McCoy (11659995),Colt McCoy,11659995,QB,4700,WAS@DAL 11/22/2018 04:30PM ET,WAS,9.66
TE,Jordan Reed (11660138),Jordan Reed,11660138,TE/FLEX,4700,WAS@DAL 11/22/2018 04:30PM ET,WAS,10.12
WR,Tre'Quan Smith (11660076),Tre'Quan Smith,11660076,WR/FLEX,4700,ATL@NO 11/22/2018 08:20PM ET,NO,8.91
RB,Theo Riddick (11660020),Theo Riddick,11660020,RB/FLEX,4500,CHI@DET 11/22/2018 12:30PM ET,DET,8.8
QB,Teddy Bridgewater (11659996),Teddy Bridgewater,11659996,QB,4500,ATL@NO 11/22/2018 08:20PM ET,NO,-0.18
WR,Mohamed Sanu (11660078),Mohamed Sanu,11660078,WR/FLEX,4500,ATL@NO 11/22/2018 08:20PM ET,ATL,10.71
QB,Chase Daniel (11659997),Chase Daniel,11659997,QB,4400,CHI@DET 11/22/2018 12:30PM ET,CHI,-0.17
QB,Matt Cassel (11659998),Matt Cassel,11659998,QB,4400,CHI@DET 11/22/2018 12:30PM ET,DET,-0.54
WR,Anthony Miller (11660080),Anthony Miller,11660080,WR/FLEX,4400,CHI@DET 11/22/2018 12:30PM ET,CHI,10.69
QB,Matt Schaub (11659999),Matt Schaub,11659999,QB,4400,ATL@NO 11/22/2018 08:20PM ET,ATL,0.55
RB,Rod Smith (11660022),Rod Smith,11660022,RB/FLEX,4300,WAS@DAL 11/22/2018 04:30PM ET,DAL,1.29
QB,Cooper Rush (11660000),Cooper Rush,11660000,QB,4200,WAS@DAL 11/22/2018 04:30PM ET,DAL,0
WR,Cole Beasley (11660082),Cole Beasley,11660082,WR/FLEX,4200,WAS@DAL 11/22/2018 04:30PM ET,DAL,10.54
TE,Austin Hooper (11660140),Austin Hooper,11660140,TE/FLEX,4200,ATL@NO 11/22/2018 08:20PM ET,ATL,11.45
RB,Jordan Howard (11660024),Jordan Howard,11660024,RB/FLEX,4100,CHI@DET 11/22/2018 12:30PM ET,CHI,10.43
WR,Josh Doctson (11660084),Josh Doctson,11660084,WR/FLEX,4100,WAS@DAL 11/22/2018 04:30PM ET,WAS,7.2
TE,Trey Burton (11660142),Trey Burton,11660142,TE/FLEX,4000,CHI@DET 11/22/2018 12:30PM ET,CHI,11.12
