Name,Position,Team,GamesPlayed,AveragePoints,Salary,DKProjected,CostPerPoint
Michael Thomas,WR,NO,10,14.8,8900,24.12,601.351351351
Ezekiel Elliott,RB,DAL,10,16.9,8600,22.74,508.875739645
Alvin Kamara,RB,NO,10,20.7,8300,27.17,400.966183575
Julio Jones,WR,ATL,10,13.3,8300,22.79,624.060150376
Drew Brees,QB,NO,10,23.9,6700,25.65,280.334728033
Kenny Golladay,WR,DET,10,10.2,6400,15.52,627.450980392
Matt Ryan,QB,ATL,10,23.2,6100,25.63,262.931034483
Mark Ingram,RB,NO,6,13.1,6100,16.13,465.648854962
Mitchell Trubisky,QB,CHI,10,21.7,5900,24.01,271.889400922
Amari Cooper,WR,DAL,9,6.4,5700,11.09,890.625
Allen Robinson II,WR,CHI,8,8.7,5500,13.34,632.183908046
Kerryon Johnson,RB,DET,10,10.7,5400,14.64,504.672897196
Calvin Ridley,WR,ATL,10,9.8,5400,13.99,551.020408163
Matthew Stafford,QB,DET,10,15.7,5300,17.66,337.579617834
Tarik Cohen,RB,CHI,10,9.9,5300,14.39,535.353535354
Tevin Coleman,RB,ATL,10,11.1,5200,14.01,468.468468468
Dak Prescott,QB,DAL,10,16.4,5100,17.26,310.975609756
Adrian Peterson,RB,WAS,10,12.7,5100,14.91,401.57480315
Marvin Jones Jr.,WR,DET,9,9.0,5000,13.2,555.555555556
Chris Thompson,RB,WAS,5,7.6,4800,13.24,631.578947368
Colt McCoy,QB,WAS,1,9.7,4700,9.66,484.536082474
Jordan Reed,TE,WAS,10,5.6,4700,10.12,839.285714286
Tre'Quan Smith,WR,NO,8,7.6,4700,8.91,618.421052632
Theo Riddick,RB,DET,8,3.7,4500,8.8,1216.21621622
Teddy Bridgewater,QB,NO,3,-0.2,4500,-0.18,-22500.0
Mohamed Sanu,WR,ATL,10,6.5,4500,10.71,692.307692308
Chase Daniel,QB,CHI,2,-0.3,4400,-0.17,-14666.6666667
Matt Cassel,QB,DET,1,-1.5,4400,-0.54,-2933.33333333
Anthony Miller,WR,CHI,9,7.5,4400,10.69,586.666666667
Matt Schaub,QB,ATL,2,0.1,4400,0.55,44000.0
Rod Smith,RB,DAL,8,1.0,4300,1.29,4300.0
Cole Beasley,WR,DAL,10,5.7,4200,10.54,736.842105263
Austin Hooper,TE,ATL,10,6.5,4200,11.45,646.153846154
Jordan Howard,RB,CHI,10,9.0,4100,10.43,455.555555556
Josh Doctson,WR,WAS,9,4.3,4100,7.2,953.488372093
Trey Burton,TE,CHI,10,7.4,4000,11.12,540.540540541
Alex Smith,QB,WAS,10,13.8,4000,14.7,289.855072464
Maurice Harris,WR,WAS,7,4.3,4000,7.51,930.23255814
Taysom Hill,QB,NO,9,2.5,4000,2.58,1600.0
Jamison Crowder,WR,WAS,4,5.7,3900,8.98,684.210526316
Taylor Gabriel,WR,CHI,10,6.5,3700,11.51,569.230769231
