"Rank","Player","Team","Position","Points","Games","Avg"
"1","Patrick Mahomes","KC","QB","299.7","11","27.2"
"2","Todd Gurley","LAR","RB","254.4","11","23.1"
"3","Jared Goff","LAR","QB","250.6","11","22.8"
"4","Drew Brees","NO","QB","239.4","10","23.9"
"5","Matt Ryan","ATL","QB","232.4","10","23.2"
"6","Cam Newton","CAR","QB","229.2","10","22.9"
"7","Ben Roethlisberger","PIT","QB","227.7","10","22.8"
"8","Andrew Luck","IND","QB","217.0","10","21.7"
"8","Mitchell Trubisky","CHI","QB","217.0","10","21.7"
"9","Aaron Rodgers","GB","QB","207.7","10","20.8"
"10","Alvin Kamara","NO","RB","206.7","10","20.7"
"11","Kareem Hunt","KC","RB","204.2","11","18.6"
"12","Philip Rivers","LAC","QB","197.9","10","19.8"
"13","Melvin Gordon","LAC","RB","188.9","9","21.0"
"14","Saquon Barkley","NYG","RB","188.8","10","18.9"
"15","James Conner","PIT","RB","188.7","10","18.9"
"16","Kirk Cousins","MIN","QB","188.4","10","18.8"
"17","Deshaun Watson","HOU","QB","187.4","10","18.7"
"18","Russell Wilson","SEA","QB","187.2","10","18.7"
"19","Tyreek Hill","KC","WR","184.7","11","16.8"
"20","Tom Brady","NE","QB","175.5","10","17.6"
"21","Ezekiel Elliott","DAL","RB","169.4","10","16.9"
"22","Andy Dalton","CIN","QB","166.4","10","16.6"
"23","Ryan Fitzpatrick","TB","QB","165.8","8","20.7"
"24","Dak Prescott","DAL","QB","163.5","10","16.4"
"25","Christian McCaffrey","CAR","RB","158.8","10","15.9"
"26","Matthew Stafford","DET","QB","156.7","10","15.7"
"27","Blake Bortles","JAC","QB","156.4","10","15.6"
"28","Eli Manning","NYG","QB","153.6","10","15.4"
"29","Davante Adams","GB","WR","149.3","10","14.9"
"30","Michael Thomas","NO","WR","148.2","10","14.8"
"31","Antonio Brown","PIT","WR","146.7","10","14.7"
"32","Adam Thielen","MIN","WR","145.3","10","14.5"
"33","Derek Carr","OAK","QB","143.6","10","14.4"
"34","Carson Wentz","PHI","QB","140.6","8","17.6"
"35","James White","NE","RB","139.2","10","13.9"
"36","DeAndre Hopkins","HOU","WR","138.3","10","13.8"
"37","David Johnson","ARI","RB","137.9","10","13.8"
"37","Alex Smith","WAS","QB","137.9","10","13.8"
"38","Joe Flacco","BAL","QB","137.0","9","15.2"
"39","Case Keenum","DEN","QB","135.8","10","13.6"
"40","Travis Kelce","KC","TE","133.4","11","12.1"
"41","Julio Jones","ATL","WR","132.8","10","13.3"
"42","Chicago Bears","CHI","DST","130.0","10","13.0"
"43","Odell Beckham Jr.","NYG","WR","129.4","10","12.9"
"44","Baker Mayfield","CLE","QB","128.4","8","16.1"
"45","Adrian Peterson","WAS","RB","127.1","10","12.7"
"46","Robert Woods","LAR","WR","125.5","11","11.4"
"47","Brandin Cooks","LAR","WR","124.5","10","12.5"
"48","Mike Evans","TB","WR","123.7","10","12.4"
"49","Phillip Lindsay","DEN","RB","121.7","10","12.2"
"50","Wil Lutz","NO","K","115.0","10","11.5"
"51","Marcus Mariota","TEN","QB","115.0","9","12.8"
"52","Joe Mixon","CIN","RB","112.1","8","14.0"
"53","Tevin Coleman","ATL","RB","111.1","10","11.1"
"54","Emmanuel Sanders","DEN","WR","110.7","10","11.1"
"55","Zach Ertz","PHI","TE","110.4","10","11.0"
"56","JuJu Smith-Schuster","PIT","WR","107.9","10","10.8"
"57","Kerryon Johnson","DET","RB","107.4","10","10.7"
"58","Stefon Diggs","MIN","WR","106.9","9","11.9"
"59","Eric Ebron","IND","TE","106.4","10","10.6"
"60","Tyler Boyd","CIN","WR","105.9","10","10.6"
"61","T.J. Yeldon","JAC","RB","105.5","10","10.6"
"62","DeSean Jackson","TB","WR","105.0","10","10.5"
"63","Los Angeles Rams","LAR","DST","105.0","11","9.5"
"64","Harrison Butker","KC","K","104.0","11","9.5"
"65","Matt Breida","SF","RB","103.6","10","10.4"
"66","Sam Darnold","NYJ","QB","103.5","9","11.5"
"67","A.J. Green","CIN","WR","102.7","8","12.8"
"68","Tyler Lockett","SEA","WR","102.4","10","10.2"
"69","Isaiah Crowell","NYJ","RB","102.3","10","10.2"
"70","Kenny Golladay","DET","WR","102.2","10","10.2"
"71","Aaron Jones","GB","RB","101.6","8","12.7"
"72","Keenan Allen","LAC","WR","101.1","10","10.1"
"73","Tarik Cohen","CHI","RB","98.9","10","9.9"
"74","Nick Chubb","CLE","RB","98.7","10","9.9"
"75","Ka'imi Fairbairn","HOU","K","98.0","10","9.8"
"76","Calvin Ridley","ATL","WR","97.9","10","9.8"
"77","George Kittle","SF","TE","97.5","10","9.8"
"78","Jason Myers","NYJ","K","97.0","10","9.7"
"78","Mason Crosby","GB","K","97.0","10","9.7"
"79","Stephen Gostkowski","NE","K","96.0","10","9.6"
"80","Cooper Kupp","LAR","WR","95.1","8","11.9"
"81","Brett Maher","DAL","K","95.0","10","9.5"
"82","T.Y. Hilton","IND","WR","94.5","8","11.8"
"83","Alex Collins","BAL","RB","93.6","10","9.4"
"84","Robbie Gould","SF","K","92.0","10","9.2"
"85","Justin Tucker","BAL","K","91.0","10","9.1"
"86","Jordan Howard","CHI","RB","90.3","10","9.0"
"87","Washington Redskins","WAS","DST","90.0","10","9.0"
"87","Minnesota Vikings","MIN","DST","90.0","10","9.0"
"88","Lamar Miller","HOU","RB","89.8","9","10.0"
"89","Kenyan Drake","MIA","RB","89.0","10","8.9"
"90","Marlon Mack","IND","RB","88.4","6","14.7"
"91","Houston Texans","HOU","DST","88.0","10","8.8"
"92","Latavius Murray","MIN","RB","87.4","10","8.7"
"93","Cody Parkey","CHI","K","87.0","10","8.7"
"94","John Brown","BAL","WR","86.8","10","8.7"
"95","O.J. Howard","TB","TE","86.5","10","8.7"
"96","Matt Prater","DET","K","85.0","10","8.5"
"97","Aldrick Rosas","NYG","K","84.0","10","8.4"
"98","Tyrell Williams","LAC","WR","83.4","10","8.3"
"99","Pittsburgh Steelers","PIT","DST","83.0","10","8.3"
"100","Austin Ekeler","LAC","RB","82.0","10","8.2"
"101","Dustin Hopkins","WAS","K","82.0","10","8.2"
"102","Jameis Winston","TB","QB","81.9","5","16.4"
"103","Jared Cook","OAK","TE","81.7","10","8.2"
"104","Marvin Jones Jr.","DET","WR","80.8","9","9.0"
"105","Adam Vinatieri","IND","K","80.0","10","8.0"
"105","Sterling Shepard","NYG","WR","80.0","10","8.0"
"105","Ryan Succop","TEN","K","80.0","10","8.0"
"106","Chris Carson","SEA","RB","80.0","8","10.0"
"107","Golden Tate","PHI","WR","79.8","9","8.9"
"107","Dion Lewis","TEN","RB","79.8","10","8.0"
"108","Kansas City Chiefs","KC","DST","79.0","11","7.2"
"109","Mark Ingram","NO","RB","78.8","6","13.1"
"110","Peyton Barber","TB","RB","77.8","10","7.8"
"111","Chris Godwin","TB","WR","77.3","10","7.7"
"112","Carlos Hyde","JAC","RB","77.1","9","8.6"
"113","Sebastian Janikowski","SEA","K","77.0","10","7.7"
"113","Josh Lambo","JAC","K","77.0","10","7.7"
"114","Josh Rosen","ARI","QB","75.3","8","9.4"
"115","Sammy Watkins","KC","WR","75.1","10","7.5"
"116","C.J. Beathard","SF","QB","75.0","5","15.0"
"116","Denver Broncos","DEN","DST","75.0","10","7.5"
"117","Mike Davis","SEA","RB","74.6","9","8.3"
"118","Will Fuller","HOU","WR","74.3","7","10.6"
"119","Trey Burton","CHI","TE","74.2","10","7.4"
"120","Jarvis Landry","CLE","WR","74.0","10","7.4"
"121","Jason Sanders","MIA","K","74.0","10","7.4"
"121","Brandon McManus","DEN","K","74.0","10","7.4"
"122","Greg Zuerlein","LAR","K","73.0","6","12.2"
"122","Green Bay Packers","GB","DST","73.0","10","7.3"
"122","New England Patriots","NE","DST","73.0","10","7.3"
"123","Corey Davis","TEN","WR","72.9","10","7.3"
"124","Arizona Cardinals","ARI","DST","71.0","10","7.1"
"124","Steven Hauschka","BUF","K","71.0","10","7.1"
"125","Mike Williams","LAC","WR","71.0","10","7.1"
"126","Albert Wilson","MIA","WR","70.8","7","10.1"
"127","Sony Michel","NE","RB","70.4","7","10.1"
"128","Derrick Henry","TEN","RB","70.1","10","7.0"
"129","Seattle Seahawks","SEA","DST","70.0","10","7.0"
"130","Allen Robinson II","CHI","WR","69.7","8","8.7"
"131","Devin Funchess","CAR","WR","69.6","10","7.0"
"132","LeSean McCoy","BUF","RB","69.1","9","7.7"
"133","Matt Bryant","ATL","K","69.0","7","9.9"
"133","Larry Fitzgerald","ARI","WR","69.0","10","6.9"
"133","Cleveland Browns","CLE","DST","69.0","10","6.9"
"133","Indianapolis Colts","IND","DST","69.0","10","6.9"
"134","Christian Kirk","ARI","WR","68.7","10","6.9"
"135","Adam Humphries","TB","WR","68.2","10","6.8"
"136","Brock Osweiler","MIA","QB","68.0","6","11.3"
