 Position, Name, Team,Cost,Average,Projected, CostPerPoint,week1,week2,week3,week4,week5,week6,week7,opp rank,tier (1 best),Blurb
   QB ,   Jameis Winston ,   TB ,6000,19.2,23.43,312.5,,,,8.5,,35.7,26.1,31,3,"Game TB@CIN is a 54.5 point scoring game, this is High scoring and the spread is Average Team CIN is projected to win by 4 points"
   QB ,   Andy Dalton ,   CIN ,6200,17.1,19.14,362.5730994,17.52,26.6,21.08,28.78,13.92,17.16,8.92,30,3,"Game TB@CIN is a 54.5 point scoring game, this is High scoring and the spread is Average Team CIN is projected to win by 4 points"
   QB ,   Patrick Mahomes ,   KC ,7000,27.3,30.56,256.4102564,28.32,41.84,28.26,25.86,20.82,31.98,36.82,9,1,"Game DEN@KC is a 53.5 point scoring game, this is High scoring and the spread is Big Team KC is projected to win by 10 points"
   QB ,   Ben Roethlisberger ,   PIT ,6100,21.5,25,283.7209302,17,41.98,28.02,15.86,22.6,24.56,,4,2,"Game CLE@PIT is a 49 point scoring game, this is Medium scoring and the spread is Big Team PIT is projected to win by 8 points"
   QB ,   Russell Wilson ,   SEA ,5900,16.8,17.59,351.1904762,22.42,16.74,15.58,8.98,19.92,21.88,,31,4,"Game SEA@DET is a 49.5 point scoring game, this is Medium scoring and the spread is Small Team DET is projected to win by 2.5 points"
   QB ,   Matthew Stafford ,   DET ,5600,17.3,19.3,323.699422,12,28.68,18.48,23.78,15,,18,13,4,"Game SEA@DET is a 49.5 point scoring game, this is Medium scoring and the spread is Small Team DET is projected to win by 2.5 points"
,,,,,,,,,,,,,,,,
   WR ,   A.J. Green ,   CIN ,8000,12.7,19.44,629.9212598,20,30,11,18,20,16,22,31,1,"Game TB@CIN is a 54.5 point scoring game, this is High scoring and the spread is Average Team CIN is projected to win by 4 points"
   WR ,   Tyler Boyd ,   CIN ,6700,10.4,16.96,644.2307692,6,21,29,24,8,25,6,31,4,"Game TB@CIN is a 54.5 point scoring game, this is High scoring and the spread is Average Team CIN is projected to win by 4 points"
   WR ,   Mike Evans ,   TB ,7800,12.5,20.85,624,30.7,23.3,28.7,11.9,,9.8,21,25,3,"Game TB@CIN is a 54.5 point scoring game, this is High scoring and the spread is Average Team CIN is projected to win by 4 points"
   WR ,   DeSean Jackson ,   TB ,5300,13,18.35,407.6923077,35,26,7,19,,12,11,25,7,"Game TB@CIN is a 54.5 point scoring game, this is High scoring and the spread is Average Team CIN is projected to win by 4 points"
   WR ,   Emmanuel Sanders ,   DEN ,6500,13.5,21.39,481.4814815,33,14,18,11,16,28,30,17,3,"Game DEN@KC is a 53.5 point scoring game, this is High scoring and the spread is Big Team KC is projected to win by 10 points"
   WR ,   Golden Tate ,   DET ,6000,11.4,18.6,526.3157895,20.9,21.8,12.9,34.2,9.2,,11,7,4,"Game SEA@DET is a 49.5 point scoring game, this is Medium scoring and the spread is Small Team DET is projected to win by 2.5 points"
