Position,Name,Team,Salary,AveragePoints,DKProjected,CostPerPoint,week1,week2,week3,week4,week5,week6,week7,week8,opp rank,tier (1 best),Blurb,MyScore
QB,Drew Brees,NO,6100,21.2,22.8,287.7358491,34.6,17.5,43.5,8.6,30.7,,16.8,7.8,10,3,"Game LAR@NO  is a 60 point scoring game, this is High scoring and the spread is Small Team NO is projected to win by 2 points",7
QB,Jared Goff,LAR,6000,20.7,22.78,289.8550725,17,22,30,42,19,8,17,27,32,2,"Game LAR@NO  is a 60 point scoring game, this is High scoring and the spread is Small Team NO is projected to win by 2 points",11
QB,Matthew Stafford,DET,5600,17.3,19.68,323.699422,12,28.68,18.48,23.78,15,,18,22,14,5,"Game DET@MIN  is a 49.5 point scoring game, this is Medium scoring and the spread is Average Team MIN is projected to win by 4.5 points",11
QB,Kirk Cousins,MIN,6200,20.6,23.32,300.9708738,20,36,13,36,18,20,18,25,23,2,"Game DET@MIN  is a 49.5 point scoring game, this is Medium scoring and the spread is Average Team MIN is projected to win by 4.5 points",11
,,,,,,,,,,,,,,,,,,
RB,Todd Gurley II,LAR,9500,26.1,31.64,363.9846743,27,32,29,26,33,40,31,37,5,1,"Game LAR@NO  is a 60 point scoring game, this is High scoring and the spread is Small Team NO is projected to win by 2 points",10
RB,Christian McCaffrey,CAR,7800,12.6,19.9,619.047619,15,31,25,,20,14,14,22,29,2,"Game TB@CAR is a 54.5 point scoring game, this is High scoring and the spread is Average Team CAR is projected to win by 6 points",7.5
RB,Peyton Barber,TB,3600,7.2,8.03,500,7,4,3,4,,21,3,15,14,6,"Game TB@CAR is a 54.5 point scoring game, this is High scoring and the spread is Average Team CAR is projected to win by 6 points",-1
RB,Kareem Hunt,KC,7700,18.2,21.42,423.0769231,4.9,15,16.4,29.5,16,32.5,37,20,26,1,"Game KC@CLE  is a 51 point scoring game, this is High scoring and the spread is Big Team KC is projected to win by 8.5 points",7.5
RB,Adrian Peterson,WAS,6000,14.3,16.69,419.5804196,23.6,8,27,6,,9.7,12,31,32,2,"Game ATL@WAS is a 47.5 point scoring game, this is Low scoring and the spread is Small Team WAS is projected to win by 1.5 points",3
RB,Tarik Cohen,CHI,6200,12,16.89,516.6666667,7.1,4,10,33,,24,22,18,25,5,"Game CHI@BUF is a 37.5 point scoring game, this is Low scoring and the spread is Big Team CHI is projected to win by 10 points",3
,,,,,,,,,,,,,,,,,,
TE,Benjamin Watson,NO,3200,4.8,7.43,666.6666667,8,5,12,3,7,,16,0,14,5,"Game LAR@NO  is a 60 point scoring game, this is High scoring and the spread is Small Team NO is projected to win by 2 points",-1
TE,Ed Dickson,SEA,3300,11.4,13.4,289.4736842,,,,,,,,13.4,12,6,"Game LAC@SEA is a 47.5 point scoring game, this is Medium scoring and the spread is Small Team SEA is projected to win by 1.5 points",1.5
,,,,,,,,,,,,,,,,,,
