Year,Week,Away,Home,Temp,Weather,Wind
2018,17,Dolphins,Bills,28,Overcast,7m WSW
2018,17,Lions,Packers,25,Mostly Cloudy,11m SSW
2018,17,Jaguars,Texans,45,Overcast,6m NNW
2018,17,Jets,Patriots,31,Partly Cloudy,0m SSE
2018,17,Panthers,Saints,70,DOME,1m NNE
2018,17,Cowboys,Giants,35,Overcast,0m E
2018,17,Falcons,Buccaneers,77,Mostly Cloudy,4m S
2018,17,Browns,Ravens,45,Clear,3m SSE
2018,17,Eagles,Redskins,45,Clear,3m SSE
2018,17,Raiders,Chiefs,40,Clear,11m S
2018,17,Bears,Vikings,70,DOME,7m SSE
2018,17,Bengals,Steelers,41,Clear,8m SW
2018,17,Chargers,Broncos,51,Partly Cloudy,5m N
2018,17,49ers,Rams,62,Clear,3m S
2018,17,Cardinals,Seahawks,45,Mostly Cloudy,3m SSE
2018,17,Colts,Titans,53,Mostly Cloudy,1m SSE
2018,16,Redskins,Titans,50,Clear,7m S
2018,16,Ravens,Chargers,64,Clear,4m WSW
2018,16,Giants,Colts,70,DOME,8m NW
2018,16,Texans,Eagles,43,Clear,5m W
2018,16,Jaguars,Dolphins,71,Clear,4m NNE
2018,16,Packers,Jets,41,Clear,6m WNW
2018,16,Bengals,Browns,37,Overcast,3m SW
2018,16,Buccaneers,Cowboys,48,Clear,9m N
2018,16,Vikings,Lions,70,DOME,9m W
2018,16,Bills,Patriots,37,Clear,8m WNW
2018,16,Falcons,Panthers,49,Clear,1m E
2018,16,Bears,49ers,59,Partly Cloudy,1m NNW
2018,16,Rams,Cardinals,70,DOME,1m SE
2018,16,Steelers,Saints,70,DOME,2m W
2018,16,Chiefs,Seahawks,45,Overcast,4m SSE
2018,16,Broncos,Raiders,56,Overcast,9m WSW
2018,15,Chargers,Chiefs,37,Overcast,8m NNW
2018,15,Browns,Broncos,54,Partly Cloudy,2m NW
2018,15,Texans,Jets,50,Mostly Cloudy,8m NE
2018,15,Packers,Bears,40,Clear,5m W
2018,15,Lions,Bills,33,Light Snow,2m NNE
2018,15,Buccaneers,Ravens,43,Light Rain,7m N
2018,15,Cardinals,Falcons,70,DOME,5m NW
2018,15,Raiders,Bengals,42,Overcast,1m WNW
2018,15,Titans,Giants,39,Overcast,10m NE
2018,15,Dolphins,Vikings,70,DOME,7m WNW
2018,15,Redskins,Jaguars,62,Clear,9m W
2018,15,Cowboys,Colts,70,DOME,5m WNW
2018,15,Seahawks,49ers,59,Mostly Cloudy,7m S
2018,15,Patriots,Steelers,41,Overcast,3m NW
2018,15,Eagles,Rams,65,Clear,3m SW
2018,15,Saints,Panthers,48,Clear,0m NNW
2018,14,Jaguars,Titans,44,Overcast,4m SW
2018,14,Jets,Bills,25,Partly Cloudy,6m WSW
2018,14,Giants,Redskins,32,Clear,4m NE
2018,14,Saints,Buccaneers,69,Drizzle,6m SW
2018,14,Patriots,Dolphins,80,Humid and Mostly Cloudy,12m SW
2018,14,Ravens,Chiefs,26,Clear,0m S
2018,14,Colts,Texans,45,Overcast,10m NNW
2018,14,Rams,Bears,29,Clear,1m NNW
2018,14,Panthers,Browns,31,Clear,0m ESE
2018,14,Falcons,Packers,24,Mostly Cloudy,12m W
2018,14,Broncos,49ers,54,Mostly Cloudy,1m NW
2018,14,Bengals,Chargers,70,Clear,1m E
2018,14,Eagles,Cowboys,49,Clear,6m NNW
2018,14,Lions,Cardinals,70,DOME,0m SW
2018,14,Steelers,Raiders,51,Mostly Cloudy,2m NE
2018,14,Vikings,Seahawks,47,Mostly Cloudy,5m S
2018,13,Saints,Cowboys,73,Clear,7m SSE
2018,13,Ravens,Falcons,70,DOME,4m SW
2018,13,Panthers,Buccaneers,80,Breezy and Humid,15m SSW
2018,13,Bears,Giants,50,Foggy,2m NE
2018,13,Bills,Dolphins,85,Humid and Mostly Cloudy,13m SSE
2018,13,Broncos,Bengals,63,Clear,9m S
2018,13,Rams,Lions,70,DOME,11m S
2018,13,Cardinals,Packers,34,Light Rain,18m NNE
2018,13,Browns,Texans,70,Clear,7m N
2018,13,Colts,Jaguars,78,Drizzle,10m SSW
2018,13,Jets,Titans,68,Clear,13m SW
2018,13,Chiefs,Raiders,53,Clear,1m NNE
2018,13,Vikings,Patriots,51,Overcast,2m SW
2018,13,49ers,Seahawks,45,Mostly Cloudy,0m WSW
2018,13,Chargers,Steelers,58,Mostly Cloudy,9m S
2018,13,Redskins,Eagles,48,Partly Cloudy,4m WNW
2018,12,Bears,Lions,70,DOME,9m E
2018,12,Redskins,Cowboys,63,Clear,6m SSE
2018,12,Falcons,Saints,70,DOME,2m ESE
2018,12,Browns,Bengals,48,Mostly Cloudy,0m SSE
2018,12,Seahawks,Panthers,52,Partly Cloudy,0m S
2018,12,Jaguars,Bills,39,Mostly Cloudy,7m W
2018,12,Raiders,Ravens,57,Clear,5m WSW
2018,12,Dolphins,Colts,70,DOME,11m ESE
2018,12,49ers,Buccaneers,75,Partly Cloudy,5m WNW
2018,12,Giants,Eagles,55,Clear,6m WNW
2018,12,Patriots,Jets,53,Partly Cloudy,8m NNW
2018,12,Cardinals,Chargers,72,Clear,1m NNW
